"Source:","C:\Users\silas\OneDrive\Documents\GitHub\Audio-DSP\KiCAD\-15V SEPIC\-15V SEPIC.kicad_sch"
"Date:","5/16/2023 11:01:22 AM"
"Tool:","Eeschema 7.0.2"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","21"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","2","C1, C11","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://nl.mouser.com/ProductDetail/Murata-Electronics/GRM155R71H104KE14D?qs=sGAEpiMZZMvsSlwiRhF8qkiosXznb836lYH0b0rR9OM%3D",""
"2","6","C2, C3, C6, C7, C8, C9","10u","Device:C","Capacitor_SMD:C_1210_3225Metric","https://nl.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL32B106KBJNNNE?qs=349EhDEZ59rXK%2FOM74I5cg%3D%3D",""
"3","1","C4","27p","Device:C","Capacitor_SMD:C_0402_1005Metric","~",""
"4","1","C5","1n","Device:C","Capacitor_SMD:C_0402_1005Metric","~",""
"5","1","C10","4u7","Device:C","Capacitor_SMD:C_1210_3225Metric","~",""
"6","1","D2","VSSAF5L45","Device:D_Schottky","footprints:DO-221AC","~",""
"7","1","J1","Conn_01x04","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","~",""
"8","1","L1","L_Coupled 744871004","Audio_DSP:L_Coupled 744871004","Inductor_SMD:L_Wuerth_WE-DD-Typ-L-Typ-XL-Typ-XXL","https://nl.mouser.com/ProductDetail/Wurth-Elektronik/744871004?qs=%252B97ACBfLqz%2FzfEzTNgisjA%3D%3D",""
"9","1","R1","82K","Device:R","Resistor_SMD:R_0402_1005Metric","~",""
"10","1","R2","100K","Device:R","Resistor_SMD:R_0402_1005Metric","~",""
"11","1","R3","22K","Device:R","Resistor_SMD:R_0402_1005Metric","~",""
"12","1","R4","180K","Device:R","Resistor_SMD:R_0402_1005Metric","~",""
"13","2","TP3, TP5","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Pad_D1.0mm","~",""
"14","1","U1","LT3579","Audio_DSP:LT3579","footprints:TSSOP-20-1EP_4.4x6.5mm_P0.65mm_EP2.75x3.85mm","https://nl.farnell.com/analog-devices/lt3579efe-1-pbf/dc-dc-conv-boost-inv-2-5mhz-125deg/dp/4024833?st=lt3579",""
