"Source:","C:\Users\mgurl\Documents\GitHub\Audio-DSP\KiCAD\Discrete_linear_regulator\Discrete_linear_regulator.kicad_sch"
"Date:","23/05/2023 11:04:55"
"Tool:","Eeschema 7.0.1"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","40"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","2","C1, C3","100nF","Device:C","Capacitor_SMD:C_0402_1005Metric","~",""
"2","2","C2, C15","100p","Device:C","Capacitor_SMD:C_0402_1005Metric","~",""
"3","2","C4, C14","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://nl.mouser.com/ProductDetail/Murata-Electronics/GRM155R71H104KE14D?qs=sGAEpiMZZMvsSlwiRhF8qkiosXznb836lYH0b0rR9OM%3D",""
"4","6","C5, C6, C10, C11, C12, C16","100u","Device:C_Polarized","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","https://nl.mouser.com/ProductDetail/Rubycon/25ML100MEFC8X7?qs=T3oQrply3y%252BTg1YES5rCUw%3D%3D",""
"5","2","C9, C13","10u","Device:C","Capacitor_SMD:C_1210_3225Metric","https://nl.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL32B106KBJNNNE?qs=349EhDEZ59rXK%2FOM74I5cg%3D%3D&gclid=CjwKCAjwl6OiBhA2EiwAuUwWZYy_GgbSQvb2SQzcmFnxlRRdnYGql9iLX97MLmeCLFSWBB0pCR7pTBoCje8QAvD_BwE",""
"6","2","D1, D3","LED","Device:LED","LED_SMD:LED_0805_2012Metric","https://nl.mouser.com/ProductDetail/Broadcom-Avago/HSMH-C170?qs=YDL0qNrpDT6b21G9HrN9ig%3D%3D",""
"7","1","J1","Conn_01x06","Connector_Generic:Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal","~",""
"8","2","Q1, Q4","PZT2222AT3G","Audio_DSP:PZT2222AT3G","Package_TO_SOT_SMD:SOT-223","https://nl.farnell.com/on-semiconductor/pzt2222at3g/transistor-bipol-npn-40v-sot-223/dp/2533342?st=pzt2222a",""
"9","4","Q2, Q3, Q10, Q11","BC857","Transistor_BJT:BC857","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BC860-D.pdf",""
"10","2","Q5, Q8","PZT2907AT3G","Audio_DSP:PZT2907AT3G","Package_TO_SOT_SMD:SOT-223","https://nl.farnell.com/on-semiconductor/pzt2907at3g/transistor-bipol-pnp-60v-sot-223/dp/2533343?st=pzt2907a",""
"11","2","R1, R12","780R","Device:R","Resistor_SMD:R_0402_1005Metric","~",""
"12","2","R2, R11","10k","Device:R","Resistor_SMD:R_0402_1005Metric","~",""
"13","2","R3, R10","47R","Device:R","Resistor_SMD:R_0402_1005Metric","~",""
"14","2","R4, R8","100R","Device:R","Resistor_SMD:R_0402_1005Metric","~",""
"15","2","R5, R9","100k","Device:R","Resistor_SMD:R_0402_1005Metric","~",""
"16","2","R6, R13","8k2","Device:R","Resistor_SMD:R_0402_1005Metric","~",""
"17","2","R7, R14","2k4","Device:R","Resistor_SMD:R_0402_1005Metric","~",""
"18","1","U1","LM4562","Audio_DSP:LM4562","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://nl.farnell.com/texas-instruments/lm4562max-nopb/audio-amplifier-55mhz-20v-us-soic/dp/3004534?st=lm4562",""
