"Source:","C:\Users\PC\OneDrive\Documenten\School\Fontys\Minor\Be creative minor\Git\Audio-DSP\KiCAD\Main board\Main board.kicad_sch"
"Date:","6/8/2023 1:09:46 PM"
"Tool:","Eeschema 7.0.1"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","511"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Cable","FPGA connector","LEDs for all VU-meters","Sim.Device","Sim.Pins","Wire housing"
"1","76","C1, C2, C5, C6, C8, C9, C11, C12, C16, C20, C32, C34, C37, C43, C45, C46, C47, C49, C50, C51, C52, C55, C58, C59, C76, C77, C78, C79, C84, C86, C87, C88, C91, C96, C97, C100, C101, C104, C109, C110, C111, C117, C118, C121, C122, C123, C124, C126, C127, C129, C130, C132, C133, C135, C145, C146, C147, C148, C151, C153, C154, C155, C161, C162, C165, C166, C169, C170, C173, C175, C177, C178, C179, C180, C181, C182","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","","","","",""
"2","48","C3, C4, C7, C10, C13, C14, C15, C19, C31, C33, C36, C38, C39, C42, C44, C48, C53, C54, C56, C57, C60, C61, C62, C63, C80, C81, C82, C83, C89, C98, C99, C102, C103, C115, C116, C119, C120, C125, C128, C131, C152, C156, C163, C164, C167, C168, C171, C172","22uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","https://nl.mouser.com/ProductDetail/Wurth-Elektronik/860010472003?qs=0KOYDY2FL29m3c71CGm9mg%3D%3D","","","","","","",""
"3","2","C17, C18","4n7","Device:C","Capacitor_SMD:C_0805_2012Metric","https://nl.mouser.com/ProductDetail/Murata-Electronics/GRM2195C1H472JA01D?qs=sGAEpiMZZMvsSlwiRhF8qopNQjEJorQ3oN4J1S5saO4%3D","","","","","","",""
"4","4","C21, C22, C23, C24","1n5","Device:C","Capacitor_SMD:C_0805_2012Metric","https://nl.mouser.com/ProductDetail/Murata-Electronics/GRM2165C2A152JA01D?qs=sGAEpiMZZMvsSlwiRhF8qmYrZf7BM18AtqXEXMp00dw%3D","","","","","","",""
"5","12","C25, C26, C27, C28, C64, C65, C66, C67, C68, C69, C70, C71","680p","Device:C","Capacitor_SMD:C_0805_2012Metric","https://nl.mouser.com/ProductDetail/Wurth-Elektronik/885012007039?qs=sGAEpiMZZMvsSlwiRhF8qunkWFWGyo%252BvXKfZHOY2cNzpjwvGLvXaQQ%3D%3D","","","","","","",""
"6","6","C29, C30, C72, C73, C74, C75","2n2","Device:C","Capacitor_SMD:C_0805_2012Metric","https://nl.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL21C222JBFNNNG?qs=sGAEpiMZZMvsSlwiRhF8qiamir66WTSkirLA%252BgG7U9k%3D","","","","","","",""
"7","8","C35, C40, C106, C107, C141, C142, C143, C144","1n","Device:C","Capacitor_SMD:C_0805_2012Metric","https://nl.mouser.com/ProductDetail/KEMET/C0805C102J5GACTU?qs=sGAEpiMZZMvsSlwiRhF8qmPBMd%252BWfAkOoLKrQvOpsNU%3D","","","","","","",""
"8","4","C41, C108, C149, C150","2n7","Device:C","Capacitor_SMD:C_0805_2012Metric","https://nl.mouser.com/ProductDetail/Murata-Electronics/GCM2165C2A272JA16J?qs=sGAEpiMZZMvsSlwiRhF8qtKev7nvVKumNiG9rtoc1idzfUbtW96stw%3D%3D","","","","","","",""
"9","4","C85, C112, C113, C114","1u","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","","","","",""
"10","6","C90, C92, C93, C94, C95, C105","3n3","Device:C","Capacitor_SMD:C_0805_2012Metric","https://nl.mouser.com/ProductDetail/Murata-Electronics/GRM2165C1H332JA01J?qs=sGAEpiMZZMvsSlwiRhF8qjAyQRK0NGN5kwj0cAeD0Xc%3D","","","","","","",""
"11","4","C137, C140, C159, C160","10u","Device:C","Capacitor_SMD:C_1210_3225Metric","https://nl.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL32B106KBJNNNE?qs=349EhDEZ59rXK%2FOM74I5cg%3D%3D&gclid=CjwKCAjwl6OiBhA2EiwAuUwWZYy_GgbSQvb2SQzcmFnxlRRdnYGql9iLX97MLmeCLFSWBB0pCR7pTBoCje8QAvD_BwE","","","","","","",""
"12","4","C138, C139, C157, C158","47p","Device:C","Capacitor_SMD:C_0402_1005Metric","https://nl.mouser.com/ProductDetail/Murata-Electronics/GRM1555C1H470JA01D?qs=sGAEpiMZZMvsSlwiRhF8qp4oH3Zhw9UOwc4opkTX2xQ%3D","","","","","","",""
"13","10","D1, D2, D7, D8, D9, D10, D11, D12, D13, D14","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://nl.mouser.com/ProductDetail/Micro-Commercial-Components-MCC/1N4148WX-TP?qs=Vo7e0yZOYdH7fKyVBspYOg%3D%3D","","","","","D","1=K 2=A",""
"14","2","D3, D4","STS321050B100","Device:D_TVS","Diode_SMD:D_SOD-323","https://nl.mouser.com/ProductDetail/Bussmann-Eaton/STS321050B100?qs=DPoM0jnrROWNRcBwU5Jzqw%3D%3D","","","","","","",""
"15","2","D5, D6","CPDT-12V","Device:D_TVS","Package_TO_SOT_SMD:SOT-23","https://nl.mouser.com/ProductDetail/Comchip-Technology/CPDT-12V?qs=tw%252BuQ%2FB6PO0KPAaKlo8Fww%3D%3D","","","","","","",""
